DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,Technology,Computer Software: Programming, Data Processing,https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
ATEN,A10 Networks, Inc.,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAC,AAC Holdings, Inc.,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AAN,Aaron&#39;s,  Inc.,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
GCH,Aberdeen Greater China Fund, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/gch
ACP,Aberdeen Income Credit Strategies Fund,n/a,n/a,https://www.nasdaq.com/symbol/acp
JEQ,Aberdeen Japan Equity Fund, Inc. ,n/a,n/a,https://www.nasdaq.com/symbol/jeq
SGF,Aberdeen Singapore Fund, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
ACN,Accenture plc,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
ATV,Acorn International, Inc.,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf
ADX,Adams Diversified Equity Fund, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/adx
PEO,Adams Natural Resources Fund, Inc.,n/a,n/a,https://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
ADSW,Advanced Disposal Services, Inc.,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
